university_name,country,num_students,student_staff_ratio,international_students,female_male_ratio
California Institute of Technology,United States,2243,6.9,0.27,0.33
Columbia University,United States,25055,5.9,0.28,0.49
Harvard University,United States,20152,8.9,0.25,0.51
Massachusetts Institute of Technology,United States,11074,9,0.33,0.37
Princeton University,United States,7929,8.4,0.27,0.45
Stanford University,United States,15596,7.8,0.22,0.42
"University of California, Berkeley",United States,36186,16.4,0.15,0.50
University of Cambridge,United Kingdom,18812,11.8,0.34,0.46
University of Chicago,United States,14221,6.9,0.21,0.42
University of Oxford,United Kingdom,19919,11.6,0.34,0.46
