university_name,country,num_students,student_staff_ratio,id
Harvard University,United States,20152,9,1
Harvard University,United States,20152,9,2
Harvard University,United States,20152,9,3
Harvard University,United States,20152,9,4
Harvard University,United States,20152,9,5
Harvard University,United States,20152,9,6
Harvard University,United States,20152,9,7
Harvard University,United States,20152,9,8
Harvard University,United States,20152,9,9
Harvard University,United States,20152,9,10
University of Cambridge,United Kingdom,18812,12,1
University of Cambridge,United Kingdom,18812,12,2
University of Cambridge,United Kingdom,18812,12,3
University of Cambridge,United Kingdom,18812,12,4
University of Cambridge,United Kingdom,18812,12,5
University of Cambridge,United Kingdom,18812,12,6
University of Cambridge,United Kingdom,18812,12,7
University of Cambridge,United Kingdom,18812,12,8
University of Cambridge,United Kingdom,18812,12,9
University of Cambridge,United Kingdom,18812,12,10
University of Cambridge,United Kingdom,18812,12,11
University of Cambridge,United Kingdom,18812,12,12
University of Cambridge,United Kingdom,18812,12,13
California Institute of Technology,United States,2243,7,1
California Institute of Technology,United States,2243,7,2
California Institute of Technology,United States,2243,7,3
California Institute of Technology,United States,2243,7,4
California Institute of Technology,United States,2243,7,5
California Institute of Technology,United States,2243,7,6
California Institute of Technology,United States,2243,7,7
California Institute of Technology,United States,2243,7,8
"University of California, Berkeley",United States,36186,16,1
"University of California, Berkeley",United States,36186,16,2
"University of California, Berkeley",United States,36186,16,3
"University of California, Berkeley",United States,36186,16,4
"University of California, Berkeley",United States,36186,16,5
"University of California, Berkeley",United States,36186,16,6
"University of California, Berkeley",United States,36186,16,7
"University of California, Berkeley",United States,36186,16,8
"University of California, Berkeley",United States,36186,16,9
"University of California, Berkeley",United States,36186,16,10
"University of California, Berkeley",United States,36186,16,11
"University of California, Berkeley",United States,36186,16,12
"University of California, Berkeley",United States,36186,16,13
"University of California, Berkeley",United States,36186,16,14
"University of California, Berkeley",United States,36186,16,15
"University of California, Berkeley",United States,36186,16,16
"University of California, Berkeley",United States,36186,16,17
Princeton University,United States,7929,8,1
Princeton University,United States,7929,8,2
Princeton University,United States,7929,8,3
Princeton University,United States,7929,8,4
Princeton University,United States,7929,8,5
Princeton University,United States,7929,8,6
Princeton University,United States,7929,8,7
Princeton University,United States,7929,8,8
Princeton University,United States,7929,8,9
University of Chicago,United States,14221,7,1
University of Chicago,United States,14221,7,2
University of Chicago,United States,14221,7,3
University of Chicago,United States,14221,7,4
University of Chicago,United States,14221,7,5
University of Chicago,United States,14221,7,6
University of Chicago,United States,14221,7,7
University of Chicago,United States,14221,7,8
Stanford University,United States,15596,8,1
Stanford University,United States,15596,8,2
Stanford University,United States,15596,8,3
Stanford University,United States,15596,8,4
Stanford University,United States,15596,8,5
Stanford University,United States,15596,8,6
Stanford University,United States,15596,8,7
Stanford University,United States,15596,8,8
Stanford University,United States,15596,8,9
Massachusetts Institute of Technology,United States,11074,9,1
Massachusetts Institute of Technology,United States,11074,9,2
Massachusetts Institute of Technology,United States,11074,9,3
Massachusetts Institute of Technology,United States,11074,9,4
Massachusetts Institute of Technology,United States,11074,9,5
Massachusetts Institute of Technology,United States,11074,9,6
Massachusetts Institute of Technology,United States,11074,9,7
Massachusetts Institute of Technology,United States,11074,9,8
Massachusetts Institute of Technology,United States,11074,9,9
Massachusetts Institute of Technology,United States,11074,9,10
University of Oxford,United Kingdom,19919,12,1
University of Oxford,United Kingdom,19919,12,2
University of Oxford,United Kingdom,19919,12,3
University of Oxford,United Kingdom,19919,12,4
University of Oxford,United Kingdom,19919,12,5
University of Oxford,United Kingdom,19919,12,6
University of Oxford,United Kingdom,19919,12,7
University of Oxford,United Kingdom,19919,12,8
University of Oxford,United Kingdom,19919,12,9
University of Oxford,United Kingdom,19919,12,10
University of Oxford,United Kingdom,19919,12,11
University of Oxford,United Kingdom,19919,12,12
University of Oxford,United Kingdom,19919,12,13
Columbia University,United States,25055,6,1
Columbia University,United States,25055,6,2
Columbia University,United States,25055,6,3
Columbia University,United States,25055,6,4
Columbia University,United States,25055,6,5
Columbia University,United States,25055,6,6
Columbia University,United States,25055,6,7
