Country,university_count
Argentina,1
Australia,23
Austria,6
Belgium,7
Brazil,6
Canada,18
Chile,2
China,58
Czech Republic,1
Denmark,5
Egypt,1
Estonia,1
Finland,5
France,18
Germany,36
Greece,3
"Hong Kong, China",5
India,1
"Iran, Islamic Rep. of",2
Ireland,4
Israel,6
Italy,15
Japan,16
"Korea, Republic of",10
Malaysia,2
Mexico,1
Netherlands,11
New Zealand,4
Norway,3
Poland,2
Portugal,4
Russian Federation,4
Saudi Arabia,4
Serbia,1
Singapore,2
Slovenia,1
South Africa,4
Spain,10
Sweden,10
Switzerland,8
"Taiwan, China",4
Turkey,1
United Kingdom,39
United States,139
Grand Total,504
