University,Country,WorldRank,Latitude,Longitude,Type
University of Western Sydney,Australia,401,-33.81,151.01,Top 500
Flinders University,Australia,401,-35.03,138.57,Top 500
University of Graz,Austria,401,47.07,15.44,Top 500
Medical University of Innsbruck,Austria,401,47.26,11.39,Top 500
Federal University of Minas Gerais,Brazil,401,-19.87,-43.97,Top 500
Federal University of Rio Grande do Sul,Brazil,401,-30.03,-51.22,Top 500
Catholic University of Chile,Chile,401,-33.44,-70.64,Top 500
Beijing University of Chemical Technology,China,401,39.97,116.42,Top 500
Chongqing University,China,401,29.56,106.47,Top 500
Peking Union Medical College,China,401,39.91,116.41,Top 500
Beijing Institute of Technology,China,401,39.96,116.31,Top 500
Capital Medical University,China,401,39.87,116.35,Top 500
East China Normal University,China,401,31.23,121.41,Top 500
Shanghai University,China,401,31.31,121.38,Top 500
Huazhong Agricultural University,China,401,30.48,114.35,Top 500
Northeastern University (Shenyang),China,401,41.81,123.43,Top 500
NanJing Tech University,China,401,32.07,118.65,Top 500
Nanjing University of Aeronautics and Astronautics,China,401,32.03,118.82,Top 500
University of Science and Technology Beijing,China,401,39.99,116.36,Top 500
Nanjing Medical University,China,401,32.04,118.77,Top 500
Harbin Engineering University,China,401,45.77,126.66,Top 500
Kaohsiung Medical University,China,401,22.65,120.31,Top 500
Nanjing University of Information Science & Technology,China,401,32.21,118.73,Top 500
Chang Gung University,China,401,25.03,121.39,Top 500
China University of Geosciences (Wuhan),China,401,30.52,114.4,Top 500
Cairo University,Egypt,401,30.0272,31.2087,Top 500
University of Eastern Finland,Finland,401,62.8939,27.6404,Top 500
MINES ParisTech,France,401,48.8456,2.3396,Top 500
Ecole Polytechnique,France,401,48.8342,2.2833,Top 500
University of Rostock,Germany,401,54.0755,12.1035,Top 500
Technical University Darmstadt,Germany,401,49.8748,8.6563,Top 500
Bielefeld University,Germany,401,52.0302,8.5325,Top 500
University of Halle-Wittenberg,Germany,401,51.4861,11.9695,Top 500
University of Bayreuth,Germany,401,49.9262,11.5852,Top 500
University of Bremen,Germany,401,53.1068,8.8521,Top 500
University of Hannover,Germany,401,52.383,9.7197,Top 500
University of Konstanz,Germany,401,47.6895,9.1868,Top 500
Aristotle University of Thessaloniki,Greece,401,40.6308,22.9592,Top 500
National Technical University of Athens,Greece,401,37.9877,23.7319,Top 500
Indian Institute of Science,India,401,13.0219,77.5671,Top 500
Amirkabir University of Technology,"Iran, Islamic Rep. of",401,35.7032,51.4096,Top 500
"National University of Ireland, Galway",Ireland,401,53.2792,-9.0617,Top 500
University College Cork,Ireland,401,51.8935,-8.4921,Top 500
Bar-Ilan University,Israel,401,32.0692,34.8431,Top 500
Ben-Gurion University of the Negev,Israel,401,31.2622,34.8015,Top 500
Vita-Salute San Raffaele University,Italy,401,45.5069,9.2673,Top 500
University of Ferrara,Italy,401,44.8334,11.6263,Top 500
University of Milan - Bicocca,Italy,401,45.518,9.2137,Top 500
University of Palermo,Italy,401,38.1177,13.3699,Top 500
University of Parma,Italy,401,44.8008,10.3259,Top 500
Waseda University,Japan,401,35.71,139.72,Top 500
Kobe University,Japan,401,34.73,135.23,Top 500
The University of Tokushima,Japan,401,34.07,134.56,Top 500
Tokyo University of Science,Japan,401,35.7,139.74,Top 500
Pohang University of Science and Technology,"Korea, Republic of",401,36.01,129.32,Top 500
University of Ulsan,"Korea, Republic of",401,35.55,129.32,Top 500
"University of Science, Malaysia",Malaysia,401,5.36,100.3,Top 500
University of Canterbury,New Zealand,401,-43.52,172.5794,Top 500
Jagiellonian University,Poland,401,50.06,19.93,Top 500
University of Aveiro,Portugal,401,40.63,-8.66,Top 500
University of Minho,Portugal,401,41.56,-8.4,Top 500
Novosibirsk State University,Russian Federation,401,54.85,83.09,Top 500
Moscow Institute of Physics and Technology,Russian Federation,401,55.93,37.52,Top 500
University of Ljubljana,Slovenia,401,46.05,14.5,Top 500
Stellenbosch University,South Africa,401,-33.93,18.86,Top 500
University of Pretoria,South Africa,401,-25.75,28.23,Top 500
University of Valencia,Spain,401,39.48,-0.36,Top 500
University of Santiago Compostela,Spain,401,42.88,-8.54,Top 500
Polytechnic University of Valencia,Spain,401,39.48,-0.34,Top 500
Umea University,Sweden,401,63.82,20.31,Top 500
National Tsing Hua University,"Taiwan, China",401,24.8,121,Top 500
Istanbul University,Turkey,401,41.01,28.96,Top 500
Heriot-Watt University,United Kingdom,401,55.91,-3.32,Top 500
University of Kent,United Kingdom,401,51.3,1.07,Top 500
Brunel University,United Kingdom,401,51.53,-0.47,Top 500
St George's Hospital Medical School,United Kingdom,401,51.43,-0.17,Top 500
