University,WorldRank,Year,Country
Harvard University,1,2006,United States
Harvard University,1,2007,United States
Harvard University,1,2014,United States
Harvard University,1,2016,United States
Harvard University,1,2005,United States
Harvard University,1,2008,United States
Harvard University,1,2011,United States
Harvard University,1,2013,United States
Harvard University,1,2012,United States
Harvard University,1,2010,United States
Harvard University,1,2018,United States
Harvard University,1,2015,United States
Harvard University,1,2009,United States
Harvard University,1,2017,United States
University of Cambridge,2,2006,United Kingdom
Stanford University,2,2014,United States
Stanford University,2,2008,United States
Stanford University,2,2016,United States
Stanford University,2,2009,United States
"University of California, Berkeley",2,2010,United States
Stanford University,2,2018,United States
Stanford University,2,2007,United States
Stanford University,2,2013,United States
Stanford University,2,2017,United States
University of Cambridge,2,2005,United Kingdom
Stanford University,2,2011,United States
Stanford University,2,2012,United States
Stanford University,2,2015,United States
"University of California, Berkeley",3,2009,United States
"University of California, Berkeley",3,2013,United States
Stanford University,3,2006,United States
Massachusetts Institute of Technology,3,2014,United States
"University of California, Berkeley",3,2007,United States
Stanford University,3,2005,United States
Massachusetts Institute of Technology,3,2011,United States
Massachusetts Institute of Technology,3,2015,United States
Stanford University,3,2010,United States
University of Cambridge,3,2018,United Kingdom
University of Cambridge,3,2017,United Kingdom
Massachusetts Institute of Technology,3,2012,United States
"University of California, Berkeley",3,2016,United States
"University of California, Berkeley",3,2008,United States
"University of California, Berkeley",4,2005,United States
University of Cambridge,4,2007,United Kingdom
University of Cambridge,4,2008,United Kingdom
Massachusetts Institute of Technology,4,2013,United States
"University of California, Berkeley",4,2014,United States
"University of California, Berkeley",4,2006,United States
University of Cambridge,4,2016,United Kingdom
Massachusetts Institute of Technology,4,2010,United States
Massachusetts Institute of Technology,4,2017,United States
"University of California, Berkeley",4,2011,United States
"University of California, Berkeley",4,2012,United States
University of Cambridge,4,2009,United Kingdom
"University of California, Berkeley",4,2015,United States
Massachusetts Institute of Technology,4,2018,United States
University of Cambridge,5,2010,United Kingdom
University of Cambridge,5,2013,United Kingdom
"University of California, Berkeley",5,2017,United States
"University of California, Berkeley",5,2018,United States
Massachusetts Institute of Technology,5,2016,United States
University of Cambridge,5,2014,United Kingdom
University of Cambridge,5,2012,United Kingdom
University of Cambridge,5,2015,United Kingdom
Massachusetts Institute of Technology,5,2006,United States
Massachusetts Institute of Technology,5,2007,United States
University of Cambridge,5,2011,United Kingdom
Massachusetts Institute of Technology,5,2005,United States
Massachusetts Institute of Technology,5,2008,United States
Massachusetts Institute of Technology,5,2009,United States
California Institute of Technology,6,2007,United States
California Institute of Technology,6,2009,United States
Princeton University,6,2017,United States
Princeton University,6,2014,United States
California Institute of Technology,6,2008,United States
Princeton University,6,2018,United States
California Institute of Technology,6,2012,United States
Princeton University,6,2016,United States
California Institute of Technology,6,2013,United States
California Institute of Technology,6,2006,United States
California Institute of Technology,6,2005,United States
California Institute of Technology,6,2010,United States
California Institute of Technology,6,2011,United States
Princeton University,6,2015,United States
University of Oxford,7,2017,United Kingdom
University of Oxford,7,2016,United Kingdom
Princeton University,7,2010,United States
Columbia University,7,2009,United States
Columbia University,7,2005,United States
Princeton University,7,2011,United States
California Institute of Technology,7,2015,United States
University of Oxford,7,2018,United Kingdom
Columbia University,7,2007,United States
California Institute of Technology,7,2014,United States
Princeton University,7,2012,United States
Columbia University,7,2006,United States
Columbia University,7,2008,United States
Princeton University,7,2013,United States
Columbia University,8,2010,United States
California Institute of Technology,8,2016,United States
Princeton University,8,2009,United States
Columbia University,8,2012,United States
Columbia University,8,2017,United States
Princeton University,8,2007,United States
Columbia University,8,2014,United States
University of Chicago,8,2006,United States
Columbia University,8,2015,United States
Princeton University,8,2006,United States
Princeton University,8,2008,United States
Columbia University,8,2011,United States
Columbia University,8,2013,United States
Princeton University,8,2005,United States
Columbia University,8,2018,United States
University of Chicago,9,2011,United States
University of Chicago,9,2009,United States
University of Chicago,9,2015,United States
University of Chicago,9,2005,United States
University of Chicago,9,2013,United States
University of Chicago,9,2007,United States
University of Chicago,9,2008,United States
University of Chicago,9,2014,United States
Columbia University,9,2016,United States
California Institute of Technology,9,2018,United States
California Institute of Technology,9,2017,United States
University of Chicago,9,2010,United States
University of Chicago,9,2012,United States
University of Oxford,10,2008,United Kingdom
University of Oxford,10,2013,United Kingdom
University of Oxford,10,2009,United Kingdom
University of Oxford,10,2012,United Kingdom
University of Oxford,10,2011,United Kingdom
University of Chicago,10,2016,United States
University of Oxford,10,2010,United Kingdom
University of Chicago,10,2018,United States
University of Oxford,10,2015,United Kingdom
University of Oxford,10,2007,United Kingdom
University of Chicago,10,2017,United States
University of Oxford,10,2005,United Kingdom
University of Oxford,10,2006,United Kingdom
Yale University,11,2007,United States
Yale University,11,2010,United States
Yale University,11,2005,United States
Yale University,11,2011,United States
Yale University,11,2006,United States
Yale University,11,2016,United States
Yale University,11,2009,United States
Yale University,11,2017,United States
Yale University,11,2013,United States
Yale University,11,2014,United States
Yale University,11,2015,United States
Yale University,11,2012,United States
Yale University,11,2008,United States
"University of California, Los Angeles",11,2018,United States
"University of California, Los Angeles",12,2013,United States
Cornell University,12,2007,United States
"University of California, Los Angeles",12,2011,United States
Cornell University,12,2010,United States
Cornell University,12,2009,United States
"University of California, Los Angeles",12,2014,United States
Cornell University,12,2008,United States
Cornell University,12,2018,United States
"University of California, Los Angeles",12,2015,United States
Cornell University,12,2005,United States
Cornell University,12,2006,United States
"University of California, Los Angeles",12,2012,United States
"University of California, Los Angeles",12,2017,United States
"University of California, Los Angeles",12,2016,United States
Yale University,12,2018,United States
Cornell University,13,2016,United States
Cornell University,13,2011,United States
University of Washington,13,2017,United States
"University of California, Los Angeles",13,2009,United States
"University of California, San Diego",13,2006,United States
"University of California, Los Angeles",13,2007,United States
"University of California, Los Angeles",13,2008,United States
Cornell University,13,2015,United States
Cornell University,13,2014,United States
"University of California, San Diego",13,2005,United States
Cornell University,13,2012,United States
Cornell University,13,2013,United States
"University of California, Los Angeles",13,2010,United States
"University of California, San Diego",14,2013,United States
"University of California, San Diego",14,2009,United States
"University of California, San Diego",14,2007,United States
"University of California, Los Angeles",14,2005,United States
University of Pennsylvania,14,2012,United States
"University of California, Los Angeles",14,2006,United States
Cornell University,14,2017,United States
"University of California, San Diego",14,2015,United States
University of Pennsylvania,14,2011,United States
"University of California, San Diego",14,2008,United States
"University of California, San Diego",14,2016,United States
University of Washington,14,2018,United States
"University of California, San Diego",14,2014,United States
"University of California, San Diego",14,2010,United States
University of Pennsylvania,15,2008,United States
University of Pennsylvania,15,2006,United States
"University of California, San Diego",15,2011,United States
University of Pennsylvania,15,2007,United States
"University of California, San Diego",15,2018,United States
University of Pennsylvania,15,2005,United States
University of Washington,15,2016,United States
"University of California, San Diego",15,2012,United States
University of Pennsylvania,15,2013,United States
"University of California, San Diego",15,2017,United States
University of Washington,15,2015,United States
University of Washington,15,2014,United States
University of Pennsylvania,15,2009,United States
University of Pennsylvania,15,2010,United States
University of Washington,16,2010,United States
University of Washington,16,2013,United States
University of Washington,16,2008,United States
University of Pennsylvania,16,2014,United States
University of Washington,16,2009,United States
University of Pennsylvania,16,2018,United States
University of Wisconsin - Madison,16,2005,United States
University of Washington,16,2011,United States
University of Washington,16,2007,United States
University of Wisconsin - Madison,16,2006,United States
Johns Hopkins University,16,2016,United States
University of Washington,16,2012,United States
Johns Hopkins University,16,2015,United States
University College London,16,2017,United Kingdom
"University of California, San Francisco",17,2011,United States
University College London,17,2016,United Kingdom
University of Wisconsin - Madison,17,2009,United States
University of Pennsylvania,17,2015,United States
The Johns Hopkins University,17,2013,United States
University of Wisconsin - Madison,17,2010,United States
University of Pennsylvania,17,2017,United States
University College London,17,2018,United Kingdom
University of Wisconsin - Madison,17,2008,United States
University of Washington,17,2005,United States
The Johns Hopkins University,17,2012,United States
University of Wisconsin - Madison,17,2007,United States
The Johns Hopkins University,17,2014,United States
University of Washington,17,2006,United States
"University of California, San Francisco",18,2012,United States
"University of California, San Francisco",18,2014,United States
"University of California, San Francisco",18,2009,United States
"University of California, San Francisco",18,2006,United States
University College London,18,2015,United Kingdom
"University of California, San Francisco",18,2005,United States
The Johns Hopkins University,18,2011,United States
University of Pennsylvania,18,2016,United States
"University of California, San Francisco",18,2013,United States
"University of California, San Francisco",18,2010,United States
Johns Hopkins University,18,2017,United States
"University of California, San Francisco",18,2015,United States
"University of California, San Francisco",18,2007,United States
The Johns Hopkins University,18,2010,United States
"University of California, San Francisco",18,2008,United States
Johns Hopkins University,18,2018,United States
Swiss Federal Institute of Technology Zurich,19,2014,Switzerland
Swiss Federal Institute of Technology Zurich,19,2018,Switzerland
Swiss Federal Institute of Technology Zurich,19,2016,Switzerland
The Johns Hopkins University,19,2009,United States
University of Wisconsin - Madison,19,2012,United States
The University of Tokyo,19,2008,Japan
University of Wisconsin - Madison,19,2013,United States
Swiss Federal Institute of Technology Zurich,19,2017,Switzerland
The Johns Hopkins University,19,2005,United States
The Johns Hopkins University,19,2007,United States
University of Wisconsin - Madison,19,2011,United States
The University of Tokyo,19,2006,Japan
The University of Tokyo,20,2005,Japan
Washington University in St. Louis,20,2018,United States
Washington University in St. Louis,20,2017,United States
The University of Tokyo,20,2007,Japan
The Johns Hopkins University,20,2008,United States
Swiss Federal Institute of Technology Zurich,20,2013,Switzerland
University College London,20,2014,United Kingdom
The University of Tokyo,20,2010,Japan
University College London,20,2011,United Kingdom
The University of Tokyo,20,2012,Japan
Swiss Federal Institute of Technology Zurich,20,2015,Switzerland
The University of Tokyo,20,2016,Japan
The University of Tokyo,20,2009,Japan
The Johns Hopkins University,20,2006,United States
The University of Tokyo,21,2011,Japan
University College London,21,2012,United Kingdom
"University of California, San Francisco",21,2018,United States
University College London,21,2013,United Kingdom
University College London,21,2010,United Kingdom
University College London,21,2009,United Kingdom
"University of California, San Francisco",21,2017,United States
University of Michigan - Ann Arbor,21,2006,United States
"University of California, San Francisco",21,2016,United States
University of Michigan - Ann Arbor,21,2005,United States
The University of Tokyo,21,2014,Japan
The University of Tokyo,21,2015,Japan
University of Michigan - Ann Arbor,21,2007,United States
University of Michigan - Ann Arbor,21,2008,United States
The University of Tokyo,21,2013,Japan
"The Imperial College of Science, Technology and Medicine",22,2016,United Kingdom
University of Michigan - Ann Arbor,22,2012,United States
University College London,22,2008,United Kingdom
"The Imperial College of Science, Technology and Medicine",22,2014,United Kingdom
The University of Tokyo,22,2018,Japan
Kyoto University,22,2007,Japan
University of Michigan-Ann Arbor,22,2014,United States
University of Michigan-Ann Arbor,22,2015,United States
Kyoto University,22,2005,Japan
University of Michigan - Ann Arbor,22,2010,United States
Northwestern University,22,2017,United States
Kyoto University,22,2006,Japan
University of Michigan - Ann Arbor,22,2011,United States
University of Michigan - Ann Arbor,22,2009,United States
University of Toronto,23,2018,Canada
"The Imperial College of Science, Technology and Medicine",23,2005,United Kingdom
Washington University in St. Louis,23,2016,United States
University of Toronto,23,2017,Canada
University of Michigan-Ann Arbor,23,2016,United States
University of Toronto,23,2007,Canada
University of Michigan - Ann Arbor,23,2013,United States
Swiss Federal Institute of Technology Zurich,23,2012,Switzerland
Swiss Federal Institute of Technology Zurich,23,2011,Switzerland
"The Imperial College of Science, Technology and Medicine",23,2006,United Kingdom
"The Imperial College of Science, Technology and Medicine",23,2015,United Kingdom
Kyoto University,23,2008,Japan
Swiss Federal Institute of Technology Zurich,23,2009,Switzerland
Swiss Federal Institute of Technology Zurich,23,2010,Switzerland
"The Imperial College of Science, Technology and Medicine",23,2007,United Kingdom
University of Toronto,24,2014,Canada
University of Toronto,24,2006,Canada
"The Imperial College of Science, Technology and Medicine",24,2013,United Kingdom
The University of Tokyo,24,2017,Japan
Kyoto University,24,2009,Japan
University of Wisconsin - Madison,24,2014,United States
"The Imperial College of Science, Technology and Medicine",24,2012,United Kingdom
University of Toronto,24,2005,Canada
Kyoto University,24,2010,Japan
Swiss Federal Institute of Technology Zurich,24,2008,Switzerland
Imperial College London,24,2018,United Kingdom
University of Wisconsin - Madison,24,2015,United States
University of Toronto,24,2008,Canada
"The Imperial College of Science, Technology and Medicine",24,2011,United Kingdom
University of Michigan-Ann Arbor,24,2017,United States
University of Illinois at Urbana-Champaign,25,2013,United States
