University,WorldRank,Country,Latitude,Longitude
University of Buenos Aires,201,Argentina,0.0000,0.0000
The University of Melbourne,38,Australia,-37.7983,144.9610
The University of Queensland,55,Australia,-27.4975,153.0137
University of Sydney,68,Australia,-33.8886,151.1873
The Australian National University,69,Australia,-35.2777,149.1185
Monash University,91,Australia,-37.8774,145.0450
The University of Western Australia,93,Australia,-31.9789,115.8181
The University of New South Wales,101,Australia,-33.9173,151.2313
The University of Adelaide,101,Australia,-34.9206,138.6062
Curtin University,151,Australia,-32.0062,115.8944
Deakin University,201,Australia, -35.3141,149.1081
James Cook University,201,Australia,-19.3259,146.7567
Macquarie University,201,Australia,-33.7810,151.1230
Queensland University of Technology,201,Australia,-27.4773,153.0289
University of Tasmania,201,Australia,-42.8789,147.3298
University of Wollongong,201,Australia,-34.4054,150.8784
Griffith University,301,Australia,-27.9628,153.3814
University of Technology Sydney,301,Australia,-33.8832,151.2005
"The University of Newcastle, Australia",301,Australia,-32.9167,151.7500
RMIT University,301,Australia,-37.6769,145.0728
Swinburne University of Technology,301,Australia,-37.8222,145.0390
La Trobe University,301,Australia,-37.7219,145.0505
University of Western Sydney,401,Australia,-33.8139,151.0066
Flinders University,401,Australia,-35.0255,138.5719
University of Vienna,151,Austria,0.0000,0.0000
University of Innsbruck,201,Austria,0.0000,0.0000
Medical University of Vienna,201,Austria,0.0000,0.0000
Vienna University of Technology,301,Austria,0.0000,0.0000
University of Graz,401,Austria,0.0000,0.0000
Medical University of Innsbruck,401,Austria,0.0000,0.0000
Ghent University,61,Belgium,0.0000,0.0000
KU Leuven,86,Belgium,0.0000,0.0000
Catholic University of Louvain,151,Belgium,0.0000,0.0000
Université libre de Bruxelles (ULB),151,Belgium,0.0000,0.0000
University of Antwerp,201,Belgium,0.0000,0.0000
Vrije Universiteit Brussel (VUB),201,Belgium,0.0000,0.0000
University of Liege,301,Belgium,0.0000,0.0000
University of Sao Paulo,151,Brazil,0.0000,0.0000
University of Campinas,301,Brazil,0.0000,0.0000
UNESP,301,Brazil,0.0000,0.0000
Federal University of Rio de Janeiro,301,Brazil,0.0000,0.0000
Federal University of Minas Gerais,401,Brazil,0.0000,0.0000
Federal University of Rio Grande do Sul,401,Brazil,0.0000,0.0000
University of Toronto,23,Canada,0.0000,0.0000
University of British Columbia,43,Canada,0.0000,0.0000
McGill University,70,Canada,0.0000,0.0000
McMaster University,86,Canada,0.0000,0.0000
University of Montreal,101,Canada,0.0000,0.0000
University of Alberta,101,Canada,0.0000,0.0000
